feature,importance
num__loan_amount,0.11724313482328343
num__credit_score,0.10317265030007025
num__income,0.10107557265706156
num__employment_years,0.09623669885960268
num__age,0.09073616628418905
num__term_months,0.02958835616846708
cat__purpose_car,0.02282800487321727
cat__purpose_debt_consolidation,0.02068515633807415
cat__purpose_home_improvement,0.01881508915853282
cat__purpose_small_business,0.018476710451017696
cat__home_ownership_RENT,0.01828628750734672
cat__home_ownership_OWN,0.018045744788429657
cat__purpose_credit_card,0.015282323315898233
cat__home_ownership_MORTGAGE,0.014941647784931811
cat__loan_id_L1016,0.004748658754018286
cat__loan_id_L1038,0.004431765438844123
cat__loan_id_L1071,0.004082302300527858
cat__loan_id_L1176,0.003947539789060291
cat__loan_id_L1025,0.003918740298776055
cat__loan_id_L1186,0.003751635268948971
cat__loan_id_L1042,0.0036680235487339032
cat__loan_id_L1142,0.0034384917166198226
cat__loan_id_L1141,0.0033361800642211577
cat__loan_id_L1113,0.0031528709197213454
cat__loan_id_L1165,0.003147081103187552
cat__loan_id_L1015,0.0030999135215291265
cat__loan_id_L1034,0.003095375507686232
cat__loan_id_L1121,0.003084498930634543
cat__loan_id_L1146,0.0030812134844638715
cat__loan_id_L1166,0.0030663252804868394
cat__loan_id_L1052,0.003034340537535837
cat__loan_id_L1032,0.002977848989101471
cat__loan_id_L1124,0.0029389567890941892
cat__loan_id_L1046,0.0029189334226832446
cat__loan_id_L1050,0.002913334428242636
cat__loan_id_L1185,0.0029114985855952912
cat__loan_id_L1053,0.0028960505176119037
cat__loan_id_L1151,0.002894192846011614
cat__loan_id_L1066,0.0028815243884861967
cat__loan_id_L1026,0.0028793808979063057
cat__loan_id_L1153,0.0028657132191762915
cat__loan_id_L1100,0.0028596151405213144
cat__loan_id_L1069,0.0028334631574570414
cat__loan_id_L1118,0.0028114032171928606
cat__loan_id_L1171,0.002780195631179075
cat__loan_id_L1003,0.002766471653326837
cat__loan_id_L1083,0.0027214088397882995
cat__loan_id_L1130,0.002684418216307825
cat__loan_id_L1061,0.0026795918071428463
cat__loan_id_L1031,0.0026571948269266204
cat__loan_id_L1140,0.0026554526079990244
cat__loan_id_L1002,0.00264043739071935
cat__loan_id_L1180,0.002624357597511057
cat__loan_id_L1098,0.00259369634250602
cat__loan_id_L1154,0.002588259690368364
cat__loan_id_L1089,0.0025639711077356736
cat__loan_id_L1088,0.002496980363693028
cat__loan_id_L1150,0.002488983370625975
cat__loan_id_L1024,0.0024884171977335705
cat__loan_id_L1076,0.002468157502479509
cat__loan_id_L1126,0.0024430485814107995
cat__loan_id_L1107,0.0024369987893754553
cat__loan_id_L1060,0.0023993620461575916
cat__loan_id_L1036,0.002372121460104552
cat__loan_id_L1102,0.00234694778756997
cat__loan_id_L1139,0.0023340094254223134
cat__loan_id_L1039,0.0023185027677848935
cat__loan_id_L1079,0.0023147527232094014
cat__loan_id_L1086,0.002311973983740895
cat__loan_id_L1029,0.0022727228413536756
cat__loan_id_L1043,0.0022713815327456356
cat__loan_id_L1108,0.002246440374790924
cat__loan_id_L1143,0.002223957602792431
cat__loan_id_L1145,0.0022150530603247676
cat__loan_id_L1144,0.002214031349562328
cat__loan_id_L1193,0.0022125397077634966
cat__loan_id_L1097,0.002173258558583159
cat__loan_id_L1101,0.0021625474567654483
cat__loan_id_L1198,0.0021234038806898226
cat__loan_id_L1067,0.0021183677391879477
cat__loan_id_L1164,0.002113008278189341
cat__loan_id_L1028,0.002111093638954773
cat__loan_id_L1081,0.002101677882238
cat__loan_id_L1168,0.0020972989074562794
cat__loan_id_L1092,0.0020792832823086724
cat__loan_id_L1096,0.0020580023666928095
cat__loan_id_L1045,0.002046268326770416
cat__loan_id_L1110,0.002033634250772425
cat__loan_id_L1114,0.0020225539787654717
cat__loan_id_L1055,0.002014671197669501
cat__loan_id_L1177,0.002010631817779171
cat__loan_id_L1173,0.00200718933049181
cat__loan_id_L1063,0.0019766604947944115
cat__loan_id_L1049,0.0019753757781628117
cat__loan_id_L1087,0.0019741064963024932
cat__loan_id_L1065,0.0019420908705049316
cat__loan_id_L1037,0.001916182289025848
cat__loan_id_L1136,0.0018620822463393527
cat__loan_id_L1137,0.001854105872400613
cat__loan_id_L1195,0.0018234598904592358
cat__loan_id_L1072,0.001804594964495169
cat__loan_id_L1044,0.0018032579270659433
cat__loan_id_L1006,0.0017838433401406518
cat__loan_id_L1115,0.0017829976117033886
cat__loan_id_L1027,0.0017529077643317953
cat__loan_id_L1127,0.001752417082434704
cat__loan_id_L1021,0.0017504813970364082
cat__loan_id_L1131,0.0017456803778451008
cat__loan_id_L1189,0.0017248365110653651
cat__loan_id_L1011,0.0017223234663428532
cat__loan_id_L1148,0.0017073447094816663
cat__loan_id_L1084,0.001697905113364278
cat__loan_id_L1075,0.0016734176043249074
cat__loan_id_L1070,0.0016583568396586709
cat__loan_id_L1035,0.0016440909588174458
cat__loan_id_L1082,0.0016181525393799336
cat__loan_id_L1122,0.0015794641724747214
cat__loan_id_L1085,0.001530181212282321
cat__loan_id_L1078,0.0015127393786674925
cat__loan_id_L1077,0.0015047908459728558
cat__loan_id_L1116,0.001503859910827399
cat__loan_id_L1020,0.0014967338850274585
cat__loan_id_L1073,0.001496347409431267
cat__loan_id_L1041,0.0014423409519996938
cat__loan_id_L1112,0.0014353226444645075
cat__loan_id_L1068,0.0014347155771099731
cat__loan_id_L1106,0.0014109560951035716
cat__loan_id_L1018,0.0014017456172493946
cat__loan_id_L1059,0.0013986605662842857
cat__loan_id_L1033,0.0013974470048034398
cat__loan_id_L1129,0.001381963431124826
cat__loan_id_L1023,0.0013445021628233488
cat__loan_id_L1090,0.00132118442718947
cat__loan_id_L1160,0.0012916846513234615
cat__loan_id_L1179,0.001264201309303632
cat__loan_id_L1147,0.0012444889091551676
cat__loan_id_L1188,0.001230344311701322
cat__loan_id_L1120,0.001229344989116334
cat__loan_id_L1158,0.001224953118531579
cat__loan_id_L1109,0.0012001554386041797
cat__loan_id_L1192,0.0011908269026020496
cat__loan_id_L1119,0.0011906774019140851
cat__loan_id_L1010,0.0011892421455063607
cat__loan_id_L1123,0.0011875315386869235
cat__loan_id_L1004,0.0011641631202224875
cat__loan_id_L1001,0.001160057176399725
cat__loan_id_L1190,0.001136790018483208
cat__loan_id_L1155,0.0011295666417458347
cat__loan_id_L1022,0.0011213402175716705
cat__loan_id_L1197,0.00108001234172037
cat__loan_id_L1104,0.0010159845903562135
cat__loan_id_L1133,0.0009959654703177348
cat__loan_id_L1103,0.0009861858518079999
cat__loan_id_L1191,0.0009366910959892952
cat__loan_id_L1187,0.0009263903614028181
cat__loan_id_L1169,0.0008949015069937976
cat__loan_id_L1167,0.0008760547051174959
cat__loan_id_L1030,0.0008314127745953741
cat__loan_id_L1163,0.0007986944283854011
cat__loan_id_L1181,0.0007485625958941947
cat__loan_id_L1019,0.000744666927069447
cat__loan_id_L1099,0.0007397855252399446
cat__loan_id_L1156,0.0007267848971241906
cat__loan_id_L1174,0.000670429278443069
cat__loan_id_L1161,0.00063531854798515
cat__loan_id_L1170,0.0006306183094293467
cat__loan_id_L1157,0.000570457262264742
cat__loan_id_L1017,0.000565414252966753
cat__loan_id_L1056,0.0005587502086305319
cat__loan_id_L1094,0.0005366409219489456
cat__loan_id_L1093,0.0005108250131106277
cat__loan_id_L1132,0.0004710361515331891
cat__loan_id_L1175,0.00036563117292855033
cat__loan_id_L1095,0.00030264603189698316
